layer,lead_band,name,direction,rows,bookings,origins,brier_outlook,brier_normal,brier_lastyear,skill_vs_normal,skill_vs_lastyear,events,test_rows,test_events,alert_threshold,recall,precision,false_alerts,skilful
setter,8-30,Directlink,forward,894,270,12,0.05040886524693436,0.06446973583750437,0.013472169938247356,0.21810032890487352,-2.7417034878564066,289,483,158,0.21,0.9936708860759493,0.7548076923076923,51,True
setter,8-30,Directlink,reverse,972,284,12,0.08352676509780858,0.08082092877230644,0.08116761739769772,-0.03347940151894546,-0.029065134295512607,299,516,145,0.21,0.8,0.5771144278606966,85,False
setter,8-30,Heywood,forward,945,225,12,0.05902542717672914,0.04162851650485709,0.0539775652651006,-0.41790849476565484,-0.09351777700303665,306,639,176,0.21,0.2727272727272727,0.3137254901960784,105,False
setter,8-30,Heywood,reverse,831,212,12,0.05597242349912147,0.04801555611002174,0.05161455749524341,-0.1657143649626287,-0.08443094768912163,220,549,132,0.21,0.6515151515151515,0.4479166666666667,106,False
setter,8-30,Murraylink,forward,936,228,12,0.0747561948153177,0.05792061210931423,0.06903058260160978,-0.2906665191008253,-0.08294312459669717,236,666,138,0.21,0.6666666666666666,0.42201834862385323,126,False
setter,8-30,Murraylink,reverse,939,228,11,0.05907867801068164,0.03432753195837289,0.055168514399273595,-0.7210290003465178,-0.07087672477654272,270,672,204,0.21,0.5490196078431373,0.5517241379310345,91,False
setter,8-30,QNI,forward,1062,316,12,0.09247285257515245,0.06939853388578346,0.0881008477536163,-0.33249000227216396,-0.049625002857667466,211,714,128,0.21,0.8359375,0.30140845070422534,248,False
setter,8-30,QNI,reverse,1476,400,12,0.08888779276530957,0.07367430107267474,0.10895914758998422,-0.20649658661339387,0.1842099104905227,338,1044,169,0.21,0.6745562130177515,0.17298937784522003,545,False
setter,8-30,VNI,forward,999,281,12,0.029550265294767557,0.020274187451609096,0.027031611500608985,-0.45753142340716835,-0.09317438563001801,108,618,75,0.21,0.18666666666666668,0.22950819672131148,47,False
setter,8-30,VNI,reverse,1056,265,12,0.09512827824708586,0.07560198757462781,0.09543270278583121,-0.2582774778663506,0.00318993940084189,323,663,196,0.21,0.6938775510204082,0.4594594594594595,160,False
setter,91-365,Basslink,forward,351,57,9,0.15411020729194952,0.2826486626181939,0.17486392090243724,0.454764066935905,0.11868493799854207,39,57,13,0.21,0.6153846153846154,0.2962962962962963,19,True
setter,91-365,Basslink,reverse,273,52,9,0.10128356840724746,0.1506927845332149,0.10957284772113966,0.3278804375340011,0.07565085225299817,31,57,12,0.21,0.3333333333333333,0.21052631578947367,15,True
setter,91-365,Directlink,forward,936,105,9,0.06703321840807036,0.012099697077143893,0.04096827489626858,-4.540074101085959,-0.6362226278211143,294,135,43,0.21,1.0,0.8113207547169812,10,False
setter,91-365,Directlink,reverse,1026,107,9,0.08037675802757376,0.05570565667002694,0.07746159955639807,-0.44288323363076665,-0.03763359506994446,300,141,28,0.21,0.75,0.4117647058823529,30,False
setter,91-365,Heywood,forward,375,39,8,0.048292098606991546,0.019172702770900982,0.043646076554652365,-1.5187945165605963,-0.10644764476187385,80,60,10,0.21,0.2,0.16666666666666666,10,False
setter,91-365,Heywood,reverse,411,48,8,0.08126706788926277,0.029983095952709368,0.06549261767218688,-1.7104295039258353,-0.2408584475281237,91,48,13,0.21,0.3076923076923077,0.23529411764705882,13,False
setter,91-365,Murraylink,forward,1266,95,9,0.0603790550109829,0.030269174387441394,0.05621845341971119,-0.9947374262059168,-0.0740077561403163,422,141,31,0.21,0.8064516129032258,0.6410256410256411,14,False
setter,91-365,Murraylink,reverse,1047,84,9,0.035938480295414986,0.019839684290233365,0.035057249355072664,-0.8114441626022597,-0.02513691052646183,359,138,41,0.21,0.4146341463414634,0.5862068965517241,12,False
setter,91-365,QNI,forward,873,123,9,0.09093045270735246,0.0724017379395948,0.08498255392837359,-0.2559153315244489,-0.06998964498045068,167,174,43,0.21,0.8837209302325582,0.42696629213483145,51,False
setter,91-365,QNI,reverse,1023,144,9,0.08782520817088876,0.09639056871992019,0.09752066265398093,0.08886098155432187,0.09941948935984168,180,291,44,0.21,0.4090909090909091,0.0962566844919786,169,True
setter,91-365,VNI,forward,1224,124,9,0.03192268982802001,0.02146148037175954,0.032293520044336825,-0.4874411864908459,0.011483115368274843,130,141,18,0.21,0.1111111111111111,0.2,8,False
setter,91-365,VNI,reverse,1521,123,9,0.09265973812946654,0.08249959210389796,0.09179940014563225,-0.12315389405529609,-0.0093719347018546,506,150,56,0.21,0.7142857142857143,0.6349206349206349,23,False
