ic,name,direction,GENCONSETID,DUID,tightening_per_hh_treated,tightening_per_hh_base,relief_per_hh_treated,relief_per_hh_base,excess_tightening,excess_relief,treated_half_hours,base_half_hours
V-S-MNSP1,Murraylink,reverse,V-KMRC,CAPBES1,17.92082399978173,3.8375852759767337,16.043472620866527,2.96791344930925,14.083238723804998,13.075559171557277,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,KIAMSF1,2.4272984275248066,15.228587817177786,0.6231047377382072,12.723005113625327,-12.801289389652979,-12.099900375887119,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,LIMOSF11,19.725761687757355,35.55254089325412,25.45280296380722,33.86930529304693,-15.826779205496763,-8.416502329239709,308,9876
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,DARLSF1,11.805804950527598,5.635070692633081,18.5366903810417,6.323382067165867,6.170734257894517,12.213308313875835,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,SUNRSF1,7.232692831879599,3.8255405843966654,13.564092463497808,5.044705336598388,3.4071522474829337,8.51938712689942,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,COLEASF1,7.052461987860873,2.5322825542761493,9.233105165358298,2.9881983891504884,4.520179433584724,6.244906776207809,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,MURRAY,20.14464276368765,13.614366782198662,4.530134505922908,7.203798613428432,6.5302759814889875,-2.673664107505524,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,FINLYSF1,5.6705048080326454,1.8916899840681065,6.459201659740278,2.25650293629292,3.778814823964539,4.202698723447358,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,VBB1,8.593684592297256,2.2781818039532515,3.7896882826574876,2.444583962126405,6.315502788344005,1.3451043205310826,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,KESSB1,1.4346715595519055,4.899365578994663,1.6983443043387505,3.9232010440798963,-3.464694019442758,-2.2248567397411456,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,BOMENSF1,3.756977685838475,1.6863910930909176,4.6423512927835064,1.6130156397645794,2.0705865927475573,3.029335653018927,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,KIAMSF1,6.647115677001742,4.045982799173324,4.348514050060302,2.8590949150188467,2.6011328778284177,1.4894191350414556,1388,6581
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,LIMOSF11,5.1997482259886585,3.9402081201799803,9.32155911079448,6.531481630209765,1.2595401058086781,2.7900774805847153,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,MURRAY,15.520965249543373,62.8041796714713,32.50951207807275,57.46725359043814,-47.28321442192793,-24.957741512365388,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,LIMOSF11,90.98535091370923,62.41319803195627,89.11578449625168,54.2810181718437,28.572152881752956,34.83476632440798,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,SUNRSF1,64.49365350655283,42.79868492881634,61.692747978896335,36.841238131110174,21.69496857773649,24.85150984778616,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,CUSF1,46.726700516651725,69.47353017188034,38.425868534452015,62.19973486099274,-22.746829655228616,-23.773866326540727,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,WLWLSF1,16.551744952199645,37.56883333538352,15.299293122002547,34.08950491135557,-21.01708838318388,-18.790211789353023,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,KIAMSF1,42.01670915604571,21.573488744296082,38.24921279149519,19.04827885797487,20.443220411749625,19.200933933520318,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,WEMENSF1,33.65644458448949,14.564551301086675,30.083834442796718,13.039230330908163,19.09189328340282,17.044604111888553,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,BANN1,27.80798938797618,13.942904852810276,26.258874516527968,12.76069242077523,13.865084535165902,13.498182095752737,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,KARSF1,28.003522989756544,14.097576741834757,24.5096831256847,12.134080558320912,13.905946247921786,12.375602567363787,1388,6581
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,HILLSTN1,42.283284855387876,27.99598988020017,33.92223553004713,22.058800079955542,14.287294975187706,11.86343545009159,1388,6581
V-S-MNSP1,Murraylink,forward,V-MRKM,STWF1,0.026433060675505077,10.146208419733295,0.0673156630636355,8.979181998028968,-10.11977535905779,-8.911866334965334,178,5707
V-S-MNSP1,Murraylink,forward,V-MRKM,KESSB1,0.33364323858547146,10.654824395669372,0.0,8.584511250221025,-10.3211811570839,-8.584511250221025,178,5707
V-S-MNSP1,Murraylink,forward,V-MRKM,GSWF1B1,0.057079402965228336,10.036160793139848,0.0,8.131539291701184,-9.979081390174619,-8.131539291701184,178,5707
V-S-MNSP1,Murraylink,forward,V-MRKM,WATERLWF,0.0,7.931786548064009,0.010068319925536875,7.623448790446084,-7.931786548064009,-7.613380470520547,178,5707
V-S-MNSP1,Murraylink,forward,V-MRKM,PAREPW1,0.04793896682401436,8.460202344814114,0.0,6.350996026590968,-8.412263377990099,-6.350996026590968,178,5707
