as_of,ic,direction,GENCONSETID,embargo_effect,embargo_ci_lo,embargo_ci_hi,rerun_effect,rerun_ci_lo,rerun_ci_hi,rerun_units,embargo_units,agree
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-CTYS_3L_WG_CLOSE,-65.78127833333338,-116.95038499999998,-24.80180500000006,-74.03058833333333,-118.84151458333332,-31.259429999999977,1408,1412,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-DTKV_18_WG_CLOSE,-290.65218166666665,-552.62556,-142.23386595833335,-314.81307916666674,-552.6411637916666,-142.34854870833345,112,117,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-DTKV_18_WG_CLOSE,-20.51108333333343,-110.79025333333334,43.54129000000006,-14.871298749999994,-87.2580675000001,43.54129000000006,112,117,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-DTMN_8_15M,-2.1379333333333648,-103.21614979166657,86.73835166666674,-6.077835,-103.8361734166665,85.27885329166654,633,633,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-DTMN_8_15M,-75.02166,-139.22040389583336,-34.433631666666656,-73.78144000000003,-139.22040389583336,-34.31492000000003,633,633,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-DTSS_11,-29.035761666666644,-87.21638691666674,48.302956083333335,-29.035761666666644,-87.21638691666674,48.302956083333335,807,807,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-DTSS_11,-21.20722333333333,-78.99958333333325,10.431662166666651,-21.20722333333333,-78.99958333333325,10.431662166666651,807,807,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-KVCW_3W_WG_CLOSE,-151.92192833333326,-258.8375033333334,-69.38586499999997,-151.92192833333326,-258.8375033333334,-69.38586499999997,184,184,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-KVCW_3W_WG_CLOSE,-55.05810791666663,-119.096465,59.93951999999999,-55.05810791666663,-119.096465,59.93951999999999,184,184,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-LTUT_64_15M,9.717388333333247,-63.416283333333354,73.91669833333322,9.717388333333247,-63.416283333333354,73.91669833333322,673,673,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-MNYS_5_WG_CLOSE,-45.10114999999996,-96.87320499999998,-9.159798333333356,-41.430386666666664,-89.84175166666654,-8.204778583333345,2829,2833,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-WAGGA_330_BUSA,-53.86685666666666,-254.36179833333335,30.190589999999986,-53.86685666666666,-254.36179833333335,30.190589999999986,86,86,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-X_AVMA_SSWW,147.50611166666667,-45.15603666666652,212.35672,147.50611166666667,-45.15603666666652,212.35672,198,198,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-X_AVMA_SSWW,25.027205833333426,-66.43953650000002,119.96349166666658,25.027205833333426,-66.43953650000002,119.96349166666658,198,198,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-X_LPSS_MPWW,-3.8421758333333287,-70.81131004166667,54.19301824999995,-3.8421758333333287,-73.03824833333329,54.19301824999995,680,684,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-X_LPSS_MPWW,-79.7287916666667,-139.7402053333333,5.021008333333327,-66.98262416666665,-139.7402053333333,11.906819999999982,680,684,True
2026-07-10 00:00:11,VIC1-NSW1,forward,S-TBSE,-45.324641666666594,-108.8325749999999,0.216060583333314,-45.802344999999946,-109.86552895833336,-0.2050727916664366,825,831,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,S-TBSE,-20.73074500000007,-90.66310539583338,23.915984999999978,-16.06239000000005,-85.172247625,28.97398166666676,825,831,True
2026-07-10 00:00:11,VIC1-NSW1,forward,V-AR_WB_BA,-82.94144916666659,-219.15536299999997,124.13506166666662,-82.94144916666659,-219.15536299999997,128.36164499999998,223,223,True
