SUBSTATIONID,substation_name,region,owner,osm_id,osm_name,lat,lon,method,confidence
T243_YRN,Yarranlea North,QLD1,Powerlink,way/948385223,Yarranlea North,-27.716584,151.5281017,name_match,medium
T240_CSF,Clare Solar Farm,QLD1,Powerlink,,,,,unmatched,
T103_CAL,Callide 132kV,QLD1,Powerlink,,,,,unmatched,
H114_WB2,H114 WAMBO WIND FARM 2,QLD1,Powerlink,,,,,unmatched,
MNM_BESS,Mannum BESS,SA1,AEMO,,,,,unmatched,
MT_B_S,Mount Barker South,SA1,ElectraNet,,,,,unmatched,
WILLAL,Willalo,SA1,ElectraNet,,,,,unmatched,
H39_WORE,Woree 275kV,QLD1,Powerlink,way/196363948,Woree Substation,-16.9558789,145.7518081,name_match,medium
CLEM_G_N,Clements Gap North,SA1,ElectraNet,,,,,unmatched,
BLGC,Basslink TAS George Town Converter Station,TAS1,APT,,,,,unmatched,
UUNG_SS,UUNGULA 330kV SWITCHING STATION,NSW1,Transgrid,,,,,unmatched,
UUNG_WF,UUNGULA 330kV WIND FARM,NSW1,Transgrid,,,,,unmatched,
T293_WGA,T293 WOOLOOGA BESS,QLD1,Powerlink,,,,,unmatched,
DINAWAN,DINAWAN 330kV Switching Station,NSW1,Transgrid,,,,,unmatched,
TEPKO,Tepko 275kV,SA1,ElectraNet,,,,,unmatched,
ROOPENA,Roopena 275kV,SA1,ElectraNet,,,,,unmatched,
H139_STB,H139 STANWELL BESS,QLD1,Powerlink,,,,,unmatched,
BUNGAM_B,Bungam_B,SA1,AEMO,,,,,unmatched,
QRNPRK,QUORN PARK 132kV,NSW1,Essential E,,,,,unmatched,
WOES,Woreen BESS,VIC1,AusNet,,,,,unmatched,
H170_GLN,Glencoe,QLD1,Powerlink,,,,,unmatched,
HUME,Hume Ps 132kV,NSW1,AusNet,,,,,unmatched,
MURRAY,Murray,NSW1,AusNet,way/174875093,Murray Switching Station,-36.2256705,148.1442073,name_match,medium
S_EAST,South East 275kV,SA1,AusNet,way/164675939,South East Substation,-37.7333557,140.8405601,name_match,medium
SUMFD1,Summer Field BESS 1,SA1,ElectraNet,,,,,unmatched,
SUMFD2,Summer Field BESS 2,SA1,ElectraNet,,,,,unmatched,
