source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
Murraylink,Directlink,reverse,N-DTSS_11,9.38324666666665,4.681250000000004,13.983318333333301
Murraylink,Directlink,forward,N-GFYC-99J-C,-7.931304166666667,-19.584002750000003,-1.68333333333333
Murraylink,Directlink,reverse,N-GFYC-99J-C,5.391666666666659,1.5,8.066666666666663
VNI,Directlink,forward,N-KVCW_3W_WG_CLOSE,2.6666449999999955,-0.5518714166666665,14.930421624999987
Murraylink,Directlink,forward,N-KVCW_3W_WG_CLOSE,2.6666449999999955,-0.5518714166666665,14.930421624999987
VNI,Directlink,reverse,N-KVCW_3W_WG_CLOSE,1.1999116666666794,-7.233348333333334,5.266681666666656
Murraylink,Directlink,reverse,N-KVCW_3W_WG_CLOSE,1.1999116666666794,-7.233348333333334,5.266681666666656
VNI,Directlink,forward,N-LTUT_64_15M,6.478953333333333,-3.5529859583333323,18.940927041666647
Murraylink,Directlink,forward,N-LTUT_64_15M,6.478953333333333,-3.5529859583333323,18.940927041666647
VNI,Directlink,reverse,N-LTUT_64_15M,-3.522436666666664,-12.399999999999999,4.189482208333332
Murraylink,Directlink,reverse,N-LTUT_64_15M,-3.522436666666664,-12.399999999999999,4.189482208333332
VNI,Directlink,forward,N-MNYS_5_WG_CLOSE,-6.13333333333334,-9.500565208333333,-2.530896791666666
Murraylink,Directlink,forward,N-MNYS_5_WG_CLOSE,-6.13333333333334,-9.500565208333333,-2.530896791666666
VNI,Directlink,reverse,N-MNYS_5_WG_CLOSE,5.916666666666657,1.7694630000000025,8.61666666666666
Murraylink,Directlink,reverse,N-MNYS_5_WG_CLOSE,5.916666666666657,1.7694630000000025,8.61666666666666
VNI,Directlink,reverse,N-WAGGA_330_BUSB,-1.697236249999996,-13.991666666666674,9.001315000000005
QNI,Directlink,forward,N-X_8E+DM+TW+LS_SVC,-20.633333333333333,-51.4,-0.04999999999999982
QNI,Directlink,reverse,N-X_8E+DM+TW+LS_SVC,3.5666666666666664,-4.966665000000001,16.56666666666667
QNI,Directlink,reverse,Q-CPWO_813/1,-2.3416733333333184,-12.0,5.116679999999988
QNI,Directlink,forward,Q-X_BRHA_TWO,9.390585833333333,-5.911751666666667,17.967477166666665
Basslink,Directlink,forward,Q-X_BRHA_TWO,9.390585833333333,-5.911751666666667,17.967477166666665
QNI,Directlink,forward,Q-X_HACL_HATR,10.080803333333336,3.8407649999999975,16.224278333333338
QNI,Directlink,forward,Q-X_MRGB_MRGB,-0.6692333333333309,-22.575000000000003,30.59310666666667
QNI,Directlink,reverse,Q-X_MRGB_MRGB,-23.214396666666673,-69.87597333333332,-3.0250008333333227
Heywood,Directlink,reverse,S-BGDV,1.0666666666666629,-3.200000000000003,5.5173183333333355
Murraylink,Directlink,reverse,S-BGDV,1.0666666666666629,-3.200000000000003,5.5173183333333355
Heywood,Directlink,forward,S-KNPW,-0.21353416666666902,-7.287108333333336,17.718413333333334
Heywood,Directlink,reverse,S-KNPW,2.6283166666666666,-23.316666666666677,13.47272433333332
Heywood,Directlink,forward,S-RBTU,-9.797389999999996,-31.68062004166666,-3.4824346249999967
Murraylink,Directlink,forward,S-RBTU,-9.797389999999996,-31.68062004166666,-3.4824346249999967
Heywood,Directlink,reverse,S-RBTU,2.9783333333333317,-2.7845833333333174,11.533333333333346
Murraylink,Directlink,reverse,S-RBTU,2.9783333333333317,-2.7845833333333174,11.533333333333346
Heywood,Directlink,forward,S-SECB6611_10,0.2671050000000079,-2.217408208333333,2.783815666666661
Heywood,Directlink,reverse,S-SECB6611_10,0.7082441666666597,-3.9739416666666703,6.526134833333333
Heywood,Directlink,forward,S-SE_1CP,1.4908241666666608,-4.283333333333331,17.741667583333314
Heywood,Directlink,reverse,S-SE_1CP,-0.5164941666666536,-7.479964000000001,6.816666666666677
Heywood,Directlink,forward,S-SE_VC1,-7.112095000000011,-15.849771666666669,-0.743177583333346
Heywood,Directlink,reverse,S-SE_VC1,-3.7833049999999986,-10.68416666666667,3.9687500000000133
Heywood,Directlink,forward,S-TB275_E_BUS,-15.474579999999996,-44.06622999999999,11.083169999999996
Heywood,Directlink,reverse,S-TB275_E_BUS,17.82932333333335,-7.64152,41.07715666666665
Heywood,Directlink,forward,S-TB275_W_BUS,-11.037320000000001,-21.333333333333336,-2.582556666666669
Heywood,Directlink,reverse,S-TB275_W_BUS,-4.963286666666676,-11.350192020833342,3.641714125000003
VNI,Directlink,forward,S-TBSE,-7.0858333333333405,-14.333776958333342,-1.032506666666663
Heywood,Directlink,forward,S-TBSE,-7.0858333333333405,-14.333776958333342,-1.032506666666663
Murraylink,Directlink,forward,S-TBSE,-7.0858333333333405,-14.333776958333342,-1.032506666666663
Basslink,Directlink,forward,S-TBSE,-7.0858333333333405,-14.333776958333342,-1.032506666666663
VNI,Directlink,reverse,S-TBSE,-5.516666666666666,-11.866707666666661,-0.3480951250000029
Heywood,Directlink,reverse,S-TBSE,-5.516666666666666,-11.866707666666661,-0.3480951250000029
Murraylink,Directlink,reverse,S-TBSE,-5.516666666666666,-11.866707666666661,-0.3480951250000029
Basslink,Directlink,reverse,S-TBSE,-5.516666666666666,-11.866707666666661,-0.3480951250000029
Heywood,Directlink,reverse,S-TBTU,13.16699166666666,5.466663916666668,20.48020687500001
Heywood,Directlink,forward,S-TB_CB6536,-17.679508333333334,-42.996109,-0.6802716666666697
Heywood,Directlink,reverse,S-TB_CB6536,7.528813333333332,-21.575224166666658,21.272814999999994
Heywood,Directlink,reverse,S-WE_MWP4,4.678333333333335,-0.865541666666664,8.716666666666683
Murraylink,Directlink,reverse,S-WE_MWP4,4.678333333333335,-0.865541666666664,8.716666666666683
Heywood,Directlink,forward,S-X_BRMN_RBTU,-15.104066666666666,-47.62248166666667,-7.800000000000004
