ic,direction,state,season,half_hours,capacity_p10,capacity_median,capacity_p90,flow_median,headroom_median,at_limit_share,restricted_share,name
V-S-MNSP1,forward,clear,Autumn,1470,-138.91147983333332,114.5,160.6971471666667,45.0,12.884958333333323,0.3272108843537415,0.24353741496598638,Murraylink
V-S-MNSP1,forward,clear,Spring,868,-120.33712166666666,41.998603333333335,157.590538,0.0,1.6666666908804473e-06,0.17050691244239632,0.5691244239631337,Murraylink
V-S-MNSP1,forward,clear,Summer,1896,-103.65316333333334,133.05275833333332,175.52249999999998,72.0,1.6666666624587378e-06,0.4699367088607595,0.285337552742616,Murraylink
V-S-MNSP1,forward,clear,Winter,366,-87.23758666666667,91.545785,173.47878250000002,16.5,18.651650833333342,0.23497267759562843,0.36065573770491804,Murraylink
V-S-MNSP1,forward,invoked_leading,Autumn,1590,-70.0,48.211438333333334,134.8868771666667,21.397965,8.224491666666669,0.3270440251572327,0.6056603773584905,Murraylink
V-S-MNSP1,forward,invoked_leading,Spring,1856,-73.91764333333333,31.984542499999996,149.674955,2.9212783333333334,21.26424833333333,0.27370689655172414,0.625,Murraylink
V-S-MNSP1,forward,invoked_leading,Summer,1208,-118.60185333333334,11.117070000000002,152.96264733333328,0.0,0.0,0.304635761589404,0.7177152317880795,Murraylink
V-S-MNSP1,forward,invoked_leading,Winter,3435,-117.03502966666665,45.62249833333333,158.50972566666664,5.246166666666666,0.15551666666667074,0.30393013100436683,0.5473071324599709,Murraylink
V-S-MNSP1,forward,invoked_nonleading,Autumn,5682,-39.326059666666666,128.47502583333335,167.37908633333333,60.0,38.50000333333334,0.2981344596972897,0.21612108412530798,Murraylink
V-S-MNSP1,forward,invoked_nonleading,Spring,5792,-45.0,125.0,168.78636566666668,49.5,13.537523333333326,0.355317679558011,0.27537983425414364,Murraylink
V-S-MNSP1,forward,invoked_nonleading,Summer,4918,40.64661383333334,149.32577083333334,178.348384,101.50662166666666,7.73698916666666,0.44794631964213094,0.12728751525010168,Murraylink
V-S-MNSP1,forward,invoked_nonleading,Winter,5030,-74.92492033333332,78.5,154.9877585,7.751851666666667,3.5101008333333326,0.17435387673956262,0.4510934393638171,Murraylink
V-S-MNSP1,forward,partial,Autumn,6,-11.866785833333324,143.94755666666669,166.05342083333335,138.0206,1.6666666624587378e-06,0.6666666666666666,0.16666666666666666,Murraylink
V-S-MNSP1,forward,partial,Spring,9,-29.747905999999993,73.0,172.62612133333332,20.544523333333334,0.0,0.4444444444444444,0.4444444444444444,Murraylink
V-S-MNSP1,forward,partial,Summer,5,-45.868633,0.0,156.04070066666668,0.0,0.0,0.4,0.6,Murraylink
V-S-MNSP1,forward,partial,Winter,1,82.83333333333333,82.83333333333333,82.83333333333333,7.5,75.33333333333333,0.0,0.0,Murraylink
V-S-MNSP1,reverse,booked_only,Autumn,84,-80.59460833333334,21.166666666666664,82.61666666666667,-61.89345916666666,80.0,0.0,0.5238095238095238,Murraylink
V-S-MNSP1,reverse,booked_only,Spring,211,-139.73755333333335,26.0,145.14562166666667,-51.546575,61.47065833333332,0.21800947867298578,0.5450236966824644,Murraylink
V-S-MNSP1,reverse,booked_only,Summer,613,-163.803856,2.8333333333333335,115.88538666666666,-52.21079833333334,67.02680833333334,0.0929853181076672,0.5579119086460033,Murraylink
V-S-MNSP1,reverse,clear,Autumn,1470,-147.465191,34.58333333333333,144.9169111666667,-45.0,75.6278375,0.12789115646258503,0.47210884353741495,Murraylink
V-S-MNSP1,reverse,clear,Spring,868,-97.0,0.0,138.5515471666667,-0.0,17.495634166666655,0.14746543778801843,0.5679723502304147,Murraylink
V-S-MNSP1,reverse,clear,Summer,1896,-170.92828416666669,-10.721804166666667,129.00567416666667,-72.0,17.065664999999996,0.125,0.5748945147679325,Murraylink
V-S-MNSP1,reverse,clear,Winter,366,-92.41666666666667,0.0,139.81082416666666,-16.5,73.92349750000001,0.1092896174863388,0.5901639344262295,Murraylink
V-S-MNSP1,reverse,invoked_leading,Autumn,856,-153.21733666666668,-42.481593333333336,72.25,-63.434884999999994,1.749999999844931e-05,0.08995327102803738,0.772196261682243,Murraylink
V-S-MNSP1,reverse,invoked_leading,Spring,1869,-158.28103233333334,-30.5,98.98921866666667,-65.87047666666666,2.6666666656183224e-05,0.11342964151952915,0.6971642589620117,Murraylink
V-S-MNSP1,reverse,invoked_leading,Summer,1803,-171.90633266666666,-134.488825,44.0,-143.92867666666666,1.6666666660114515e-06,0.03383250138657792,0.8668885191347754,Murraylink
V-S-MNSP1,reverse,invoked_leading,Winter,1498,-105.14315366666666,34.47742083333333,95.26701966666667,-27.0,59.87361083333334,0.1628838451268358,0.5120160213618158,Murraylink
V-S-MNSP1,reverse,invoked_nonleading,Autumn,6414,-139.07009399999998,22.178070833333337,130.0,-45.0,77.46007916666667,0.10477081384471469,0.5251013408169629,Murraylink
V-S-MNSP1,reverse,invoked_nonleading,Spring,5777,-152.85329333333334,31.666666666666668,130.0,-30.0,53.5,0.14886619352605157,0.5144538687900294,Murraylink
V-S-MNSP1,reverse,invoked_nonleading,Summer,4318,-164.7653691666667,0.9166666666666667,106.87077883333333,-57.0,53.67805333333334,0.08777211672070404,0.6062992125984252,Murraylink
V-S-MNSP1,reverse,invoked_nonleading,Winter,6967,-90.5,20.0,128.91531466666672,-1.5,23.64689833333334,0.17209702885029424,0.5586335582029568,Murraylink
V-S-MNSP1,reverse,partial,Autumn,8,-144.12980149999999,-47.0,152.4447515,-102.12734583333334,7.50000000948603e-06,0.25,0.625,Murraylink
V-S-MNSP1,reverse,partial,Spring,11,-171.20629666666665,0.0,143.87147000000002,-20.544523333333334,1.6666666908804473e-06,0.09090909090909091,0.7272727272727273,Murraylink
V-S-MNSP1,reverse,partial,Summer,10,-157.25350033333333,47.04376666666666,121.47308233333334,14.932083333333333,21.0280275,0.1,0.5,Murraylink
V-S-MNSP1,reverse,partial,Winter,1,77.16666666666667,77.16666666666667,77.16666666666667,-7.5,84.66666666666667,0.0,0.0,Murraylink
