scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
upper,RYEPARK1,2497,734,49414.55375388432,45383.84068319339,94798.39443707772,19.78956898433493,0.47817380857028435,38
upper,LIMBESS1,2690,1148,47711.10492843098,16851.30043182538,64562.40536025635,17.736470233617464,0.14646840148698884,39
upper,DPNTB1,7905,2974,43927.43652365543,20615.449093830044,64542.88561748548,5.556917966306822,0.18140417457305502,40
upper,CRWASF1,7413,2668,42925.189150596256,14587.68095075461,57512.87010135087,5.7905286861724345,0.5346013759611493,41
upper,MUWAWF1,3938,1665,37544.00930261581,50597.98507000512,88141.99437262092,9.533775851349874,0.33925850685627224,42
upper,GESF1,2612,1122,36977.60886041714,21999.432944689892,58977.04180510703,14.156818093574708,0.3905053598774885,43
upper,MUWAWF2,3938,1665,36497.773148403954,32032.77220284027,68530.54535124422,9.268098818792268,0.382935500253936,44
upper,WEMENSF1,4246,1773,34851.19216155737,51025.081279912134,85876.2734414695,8.208005690428019,0.2336316533207725,45
upper,CAPBES1,2682,791,33439.96465132943,12228.148982551049,45668.11363388048,12.468294053441248,0.22408650260999255,46
upper,BANN1,4246,1773,32971.537412480575,44720.78937571918,77692.32678819975,7.765317336900748,0.2399905793688177,47
upper,COLWF01,2418,716,31808.53619967504,26119.33089521484,57927.86709488988,13.154895037086451,0.49793217535153017,48
upper,NEWENSF2,565,215,26877.74275563532,14051.94060130299,40929.683356938316,47.57122611616871,0.35752212389380533,49
upper,BW01,565,215,25624.407352699287,8836.762648729451,34461.17000142874,45.35293336760936,0.3256637168141593,50
upper,BHB1,8831,3350,25070.515138684357,21182.26736176459,46252.78250044895,2.838921428907752,0.12999660287623147,51
upper,BW02,565,215,24414.359103736093,5112.982697486099,29527.341801222192,43.211255050860345,0.35752212389380533,52
upper,NEWENSF1,565,215,24251.254961302457,12516.61576613663,36767.87072743908,42.92257515274771,0.35575221238938054,53
upper,RANGEB1,2360,927,23806.909590541247,7493.677394979744,31300.58698552099,10.087673555314087,0.2305084745762712,54
upper,BW03,570,216,21790.965882288263,6368.017355440462,28158.983237728724,38.22976470576888,0.3912280701754386,55
upper,DARTM1,2466,964,20793.066968236108,1453.5912358448195,22246.658204080926,8.431900635943272,0.06772100567721005,56
upper,SAPHWF1,565,215,19853.62755566385,13934.872265843926,33788.49982150778,35.13916381533425,0.431858407079646,57
upper,ARWF1,3764,1607,19207.878079539812,18755.927785563297,37963.80586510312,5.103049436647134,0.44261424017003187,58
upper,GULLRWF2,2479,732,18533.155218143373,15531.473723824254,34064.628941967625,7.476060999654447,0.43686970552642196,59
upper,WELNSF1,867,301,18526.590276432562,9967.767827207934,28494.358103640494,21.368616235793034,0.38985005767012687,60
upper,JEMALNG1,3495,1079,17849.093625497557,10265.931987980273,28115.025613477832,5.10703680271747,0.41859799713876966,61
upper,GULLRWF1,2479,732,17807.704884639836,18101.04563234486,35908.7505169847,7.183422704574359,0.4279951593384429,62
upper,WRWF1,565,215,16619.385423600397,22186.920515324688,38806.305938925085,29.41484145769982,0.4407079646017699,63
upper,MP1,570,216,15991.897937260961,4062.708573816384,20054.606511077345,28.055961293440284,0.39824561403508774,64
upper,GANNSF1,3862,1646,15989.160219411795,10343.09896198469,26332.259181396483,4.14012434474671,0.2685137234593475,65
upper,METZSF1,565,215,15950.126675124979,9600.685805521314,25550.812480646295,28.230312699336245,0.2831858407079646,66
upper,GOONSF1,3331,1015,14794.963970800696,9688.66294879323,24483.626919593924,4.441598310057249,0.44220954668267787,67
upper,GUNNING1,6094,2166,13059.801620207003,9246.447080590171,22306.248700797172,2.14305901217706,0.46275024614374793,68
upper,GNNDHSF1,565,215,12860.521875194465,13373.096417875053,26233.618293069514,22.761985619813213,0.3274336283185841,69
upper,STUBSF1,488,184,12546.56031856203,6405.7213019761,18952.281620538128,25.710164587217275,0.2540983606557377,70
upper,BOCORWF1,2682,791,12477.784946818325,14269.51845789164,26747.303404709965,4.652417951833828,0.4451901565995526,71
upper,STUBSF2,488,184,12403.494407233353,5527.568930534481,17931.063337767835,25.41699673613392,0.305327868852459,72
upper,CROOKWF2,2479,732,12198.34170840306,13396.492596123366,25594.834304526426,4.920670313998814,0.4509883017345704,73
upper,BULGANA1,3764,1607,12042.183599426695,15217.592139877723,27259.775739304416,3.1993048882642654,0.37619553666312433,74
upper,BW04,570,216,12029.308022676916,5505.526491548772,17534.834514225688,21.10404916259108,0.19824561403508772,75
upper,WOLARSF1,525,194,11871.436905617611,8492.934673717042,20364.371579334653,22.612260772604973,0.2419047619047619,76
upper,SUNTPSF1,2474,736,11082.145091083481,7244.914627494778,18327.059718578257,4.479444256703105,0.43249797898140663,77
upper,MP2,570,216,11034.938991195446,4552.166969771737,15587.105960967183,19.35954208981657,0.3456140350877193,78
upper,BLOWERNG,6603,2339,10982.985500271467,2624.7114518423077,13607.696952113774,1.6633326518660407,0.01590186278964107,79
upper,MACARTH1,2370,930,10909.397326902306,6803.850665172138,17713.247992074444,4.603121234979876,0.44978902953586497,80
upper,PARSF1,3331,1015,10816.246616671178,7743.784238897308,18560.030855568486,3.2471469878928785,0.4311017712398679,81
upper,MOORAWF1,2404,944,10604.339033172022,8303.859054985009,18908.19808815703,4.4111227259451,0.4721297836938436,82
upper,WTAHB1,398,165,10515.73116397917,9662.813250452511,20178.54441443168,26.4214350853748,0.14824120603015076,83
