CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
S:V_PA_SVC_470,S:V_PA_SVC_470|2025-03-06 00:00:00|1,lower,2025-03-06,1,-1.0,Oscillatory Stability,"Out= one Para SVC, Oscillatory stability limit for SA to VIC on Heywood upper transfer limit of 470 MW ",5478,19,101,1790,1350,0.2206005883886704,0.0,484.99111000000005,"S-PA_VC1, S-X_BDBU+PA_VC1","S-PA_VC1, S-X_BDBU+PA_VC1"
I_6F_NS_150,I_6F_NS_150|2025-01-30 00:00:00|1,upper,2025-01-30,1,1.0,Discretionary,Discretionary limit of 150 MW on Buronga to Bundey (6F) 330 kV Line (NSW to SA),4367,263,283,1562,1345,3.159329116974763,-1.0000000202126103e-05,678.0567599999999,"I-6F_NS_150, N-NIL",
I_6F_NS_150,I_6F_NS_150|2026-06-04 00:00:00|1,upper,2026-06-04,1,0.999,Discretionary,Discretionary limit of 150 MW on Buronga to Bundey (6F) 330 kV Line (NSW to SA),8737,116,139,1591,1322,2.337870368820382,-2.0020020197075605e-05,597.7412212212212,"I-6F_NS_150, N-NIL",
V::N_NIL_V2,V::N_NIL_V2|2026-07-04 00:00:00|1,upper,2026-07-04,1,0.478,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, VIC accelerates. Yallourn W G1 on 500kV.",16703,1113,1011,1507,1215,3.530757494899617,-2.0920502277069593e-05,11443.441443514645,V-NIL,
V::N_SMSC_O1,V::N_SMSC_O1|2025-12-09 00:00:00|1,upper,2025-12-09,1,0.354,Transient Stability,"Out = One South Morang 330 kV series capacitor bank, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, Other than VIC accelerates. Yallourn W G1 on 220kV.",14649,857,958,1543,1213,1.4968134475946373,-2.824858765987527e-05,1862.8781073446328,V-SMSC,V-SMSC
S>>NIL_RBTU_RBTU,S>>NIL_RBTU_RBTU|2025-05-29 00:00:00|1,upper,2025-05-29,1,0.255,Thermal,"Out= NIL, avoid O/L Robertstown-Tungkillo 275kV line 1 or 2 on trip of parallel Robertstown-Tungkillo 275kV line 2 or 1, Feedback",42285,379,399,1367,1202,0.6284791373716438,-0.00011764705941816061,2607.138294117647,S-NIL,
V::N_NIL_O1,V::N_NIL_O1|2024-10-31 00:00:00|1,upper,2024-10-31,1,0.354,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, Other than VIC accelerates. Yallourn W G1 on 220kV.",107154,570,878,2946,1182,0.948851472544099,-2.8248587820449903e-05,3380.7490536723167,V-NIL,
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2025-01-16 00:00:00|1,lower,2025-01-16,1,-0.215,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",3797,518,445,1246,1169,82.77232313141954,-9.302325584348035e-05,2655.811302325582,V-NIL,
V>S_460,V>S_460|2025-02-28 00:00:00|1,upper,2025-02-28,1,1.0,Thermal,VIC to SA on Heywood upper transfer limit of 460 MW,4725,482,687,1628,1117,8.116232355316917,0.0,325.012325,I-VS_460,
V_S_HEYWOOD_UFLS,V_S_HEYWOOD_UFLS|2024-09-24 00:00:00|1,upper,2024-09-24,1,1.0,Other,"Out= Nil, Limit Heywood flows when SA under frequency load shedding (UFLS) is insufficient (i.e. when UFLS blocks in SA <1000 MW) to manage for double-circuit loss of Heywood IC. Note: Constraint is swamped if UFLS blocks >= 1000 MW.",4011,8,16,1275,1109,0.20750755027422305,0.0,9506.12399,S-NIL,
