DUID,net_mw,tightening_mw,relief_mw,events
WELNSF1,274.0008828049978,889.0052786793949,615.0043958743971,21
DDPS1,581.9870578219028,885.0590537974006,303.07199597549766,27
LIMOSF11,-5.554700166700434,879.6786088074839,885.2333089741842,14
CHILDSF1,474.10879000755375,872.0993711134086,397.990581105855,27
URANQ12,397.93397361827425,869.35412792,471.4201543017259,14
HILLSTN1,-669.3373951911802,865.4273530701088,1534.764748261289,14
URANQ13,364.0218249583757,830.4760497677158,466.45422480934,14
KAREEYA2,307.2597235589085,813.1385942656593,505.8788707067509,27
ULPBESS1,167.04368079665247,808.8368043391325,641.7931235424801,16
WANDSF1,127.89554599528746,789.3181425924066,661.4225965971191,27
RIVNB2,-179.26581549045295,788.1045540246555,967.3703695151086,14
KAREEYA4,240.2065769867746,755.8492688202714,515.6426918334969,27
GANGARR1,-17.917623148016236,754.2465550726497,772.1641782206659,27
SUNTPSF1,-121.63452404748722,749.2239605491629,870.8584845966502,21
COOPGWF1,79.17265844629836,729.0040188611036,649.8313604148052,27
KEPWF1,-35.36594890260109,724.4839119534546,759.8498608560558,27
MSTUART1,715.126340506329,721.1433075949367,6.01696708860769,27
CHBESS1,90.25767512079976,703.2285041607761,612.9708290399763,27
GREENB1,-29.699035639412976,702.4645529148847,732.1635885542978,8
SUNRSF1,-147.9840336401593,687.9697041750835,835.9537378152427,14
EDENVSF1,254.43920393966806,686.376293352615,431.9370894129469,27
METZSF1,-53.05977871464111,675.8438656559099,728.9036443705511,33
MP2,466.0742840719263,664.2310392018284,198.15675512990208,19
GSTONE6,-749.4401871998078,659.0636577770888,1408.5038449768967,27
MP1,453.5457496893012,652.4480255190629,198.9022758297616,19
GNNDHSF1,375.54801410989734,652.2861047148176,276.7380906049202,27
COLWF01,-1199.5488473913053,639.6049472649676,1839.1537946562728,14
BANGOWF2,180.78579487918785,618.3100807187818,437.5242858395939,14
STWF1,266.2193636753427,614.9000788646846,348.68071518934187,14
WELLSF1,224.05479907482527,564.7940694432411,340.73927036841593,21
GESF1,98.08272068571429,547.3177978285714,449.2350771428571,5
