season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets,contraction_abs_impact,contraction_tightening,contraction_relief,contraction_positive_rows
Spring,lower,MUWAWF2,14151,598687.9234100678,42.61289582503024,198.34816226414995,349711.29273218295,248976.63067788485,1386,407,1968,569,369,136908.94523261423,100159.6924716164,36749.25276099782,589
Spring,lower,NPS,267,7.304034000000032,0.012275687394958035,0.0,0.0,7.304034000000032,100,2,120,36,20,7.304034000000032,0.0,7.304034000000032,0
Spring,lower,NUMURSF1,3250,62000.336675868384,18.170289074664833,109.89537735849058,31601.29989123938,30399.036784629006,1104,134,1775,476,329,20844.136573540454,10917.911039631692,9926.225533908762,281
Spring,lower,OAKLAND1,1816,73722.93951591682,33.065184614198195,254.6270388349515,32326.58065655758,41396.358859359236,473,48,1275,188,145,24612.399511882148,14731.066982897908,9881.33252898424,241
Spring,lower,PIBESS1,267,141.8917096404318,0.7354978289097509,5.643122676579925,91.35837469970095,50.53333494073087,100,2,120,36,20,70.73650633606883,38.52927202426878,32.20723431180005,26
Spring,lower,PIBESSG1,1,0.0,,,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
Spring,lower,PIBESSL1,1,0.0,,,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
Spring,lower,QBYNB1,23897,532.511554198,0.022255476181990395,0.354,263.520427579,268.991126619,403,1192,279,146,44,16.3462,5.4902,10.856,23
Spring,lower,RANGEB1,35,5920.972044609665,389.12358116480794,743.4944237918215,5813.165353159851,107.80669144981412,9,0,0,3,0,3252.6683643122674,3252.6683643122674,0.0,5
Spring,lower,RESS1,25967,75829.77778072859,3.5837206375858144,45.35700678571428,40260.57094767482,35569.206833053766,1192,1316,830,461,234,11187.163353873142,5952.943358609506,5234.219995263636,241
Spring,lower,RESS1G,36,0.0,0.0,0.0,0.0,0.0,8,1,0,1,0,0.0,0.0,0.0,0
Spring,lower,RESS1L,36,15.068543799772469,0.4887927298336855,4.095563139931726,15.068543799772469,0.0,8,1,0,1,0,0.0,0.0,0.0,0
Spring,lower,RIVNB2,24630,100547.57293645536,7.149270695256871,90.66666666666667,51333.44294778045,49214.129988674904,593,1234,370,181,54,4465.256133651813,2420.6432020826783,2044.6129315691346,107
Spring,lower,RYANCWF1,2239,163679.1269171806,91.72089500762566,758.6407766990292,84925.37600227566,78753.75091490496,834,106,1065,369,255,45106.403647319385,26001.51007623195,19104.893571087436,314
Spring,lower,SALTCRK1,1816,97387.124206951,46.875809035388635,441.5430757281554,61349.49144295973,36037.632763991285,473,48,1275,188,145,30008.279691120923,25330.012786380576,4678.266904740347,272
Spring,lower,SEBSF1,598,9680.791399753904,16.166499672801717,76.52246845733788,3709.071905596504,5971.719494157398,135,37,4,23,1,2778.5129711181944,1489.7526262887282,1288.7603448294662,69
